season,week,contestant,judge_score,vote_share_mean,vote_share_std,ci_lower,ci_upper,is_eliminated
28,5,Ally Brooke,27.0,0.05916371162007654,0.028121755878652288,0.01873105196354435,0.13817844256163672,False
28,5,Karamo Brown,21.0,0.18954844294582493,0.06381211868137707,0.10454974513264963,0.3384819311249626,False
28,5,Hannah Brown,25.0,0.07366514259428603,0.028026577750773902,0.030970608321104008,0.14016018901054023,False
28,6,Kate Flannery,27.0,0.04306055639273242,0.016427489918611354,0.011897032829790669,0.07711597771325701,False
28,6,James Van Der Beek,27.0,0.048139851856586015,0.019919947975318136,0.015305544357104779,0.08847664354316041,False
28,6,Kel Mitchell,26.0,0.079414119861381,0.0213489619968793,0.042123247560248656,0.121008177532161,False
28,6,Sailor Brinkley-Cook,27.0,0.019304322464767102,0.012821029484435812,0.0017957562709371275,0.045951538335285445,True
28,6,Sean Spicer,21.0,0.2312042641942404,0.05660952165336791,0.1461100186923022,0.3691686362655868,False
28,6,Lauren Alaina,26.0,0.08468885421400349,0.023911279806361867,0.043034386835390036,0.13185368871726505,False
28,6,Ally Brooke,25.0,0.15001682267302824,0.05066400262445433,0.06947883895135115,0.2737997193438533,False
28,6,Karamo Brown,25.0,0.13334898843259727,0.03519558538224199,0.07530466850777016,0.21678983089043533,False
28,6,Hannah Brown,24.0,0.21082221991067032,0.07518980467910188,0.11853576840826714,0.40468804242918716,False
28,7,Kate Flannery,24.0,0.13373642890506504,0.07654229225381692,0.02831867001806863,0.3164763186064319,False
28,7,James Van Der Beek,27.0,0.12998938906911117,0.09212341564071624,0.010764810152789238,0.34797403528260595,False
28,7,Kel Mitchell,25.5,0.14026501168400152,0.09322768200045092,0.023614418119109883,0.3774581028004707,False
28,7,Sean Spicer,21.0,0.14817822821224388,0.07701845738144641,0.04317292318089521,0.345565944470708,False
28,7,Lauren Alaina,27.0,0.14999086931698827,0.10148660516464315,0.01792147679072277,0.3884039236626224,False
28,7,Ally Brooke,27.0,0.1411263446039284,0.09446356847829494,0.016877501242282305,0.37437232419373734,False
28,7,Karamo Brown,24.5,0.0356271069830514,0.02396082300893897,0.0030594103219058594,0.09000706374284935,True
28,7,Hannah Brown,26.0,0.12108662122560866,0.09283251627741684,0.0092109914331994,0.3587916550836938,False
28,8,Kate Flannery,25.9998,0.0439225521405217,0.029879854677181565,0.0028756562872111276,0.11463215633664178,True
28,8,James Van Der Beek,31.9998,0.14503177661155744,0.10094326920224829,0.01764337142408938,0.40895965943711304,False
28,8,Kel Mitchell,29.9998,0.14907205548215452,0.09568407921055683,0.023322898860214245,0.37870205892616093,False
28,8,Sean Spicer,20.0,0.19553635367617067,0.09406807182842197,0.059643557511267,0.4271478879587729,False
28,8,Lauren Alaina,24.0,0.1731410184476703,0.09683746108811127,0.03602510228160293,0.410741287310799,False
28,8,Ally Brooke,30.0,0.1530379230602789,0.09703863367158684,0.01773059909817786,0.38505200134530854,False
28,8,Hannah Brown,30.9998,0.14025832058164805,0.10941554302104083,0.008544588597828752,0.42674957018919935,False
28,9,James Van Der Beek,36.0,0.1773939523791845,0.118275145905886,0.015267956210982977,0.46246026585928973,False
28,9,Kel Mitchell,37.0,0.18019257467154076,0.1198326646824873,0.017672134526727192,0.4694384093473876,False
28,9,Sean Spicer,25.0,0.06367609592861173,0.04902838242011742,0.003041141342123619,0.17895850512668712,True
28,9,Lauren Alaina,35.0,0.21618911203688326,0.12105046071298968,0.0342941847190089,0.4928539700812334,False
28,9,Ally Brooke,40.0,0.19724058012389156,0.12522162685852242,0.020148452177732205,0.4852875091076905,False
28,9,Hannah Brown,35.5,0.16530768485988812,0.11421703562792558,0.01501986138961771,0.44750440384920087,False
28,10,James Van Der Beek,25.5,0.10584813646557859,0.06405127515411217,0.009822134181614817,0.2517185690658979,True
28,10,Kel Mitchell,28.5,0.20445225298675904,0.1334201956083736,0.015306945337443947,0.5030724650358991,False
28,10,Lauren Alaina,27.0,0.23781003780650184,0.13542131923732006,0.031083990125313887,0.5492522363910602,False
28,10,Ally Brooke,29.5,0.22463484891850793,0.14095708428240933,0.021137644485931934,0.5438209234410099,False
28,10,Hannah Brown,27.0,0.22725472382265452,0.1401177822428978,0.022069642407569683,0.547231879362819,False
29,1,Anne Heche,18.0,0.0686808743301967,0.0549718516918874,0.005050000156198361,0.2095528204490339,False
29,1,Jesse Metcalfe,18.0,0.07909100859984551,0.06041623083095754,0.006068813343460764,0.23888651712816683,False
29,1,Chrishell Stause,13.0,0.06350985472831178,0.049417127681085846,0.004030378993951723,0.1840059998919189,False
29,1,Skai Jackson,21.0,0.07458771988717784,0.05296152288506414,0.006751368143465199,0.2045081608473477,True
29,1,Justina Machado,21.0,0.06393264747211504,0.0468078323290532,0.004599850784786601,0.1853004874541771,False
29,1,Charles Oakley,12.0,0.052217659885440186,0.04531892102134676,0.00239565305276533,0.16855888310295836,False
29,1,Veron Davis,17.0,0.07340897326903724,0.05835085936089521,0.005506975752895704,0.2285067384016256,False
29,1,Johnny Weir,18.0,0.07280066512663383,0.055035354792045015,0.007046990135075025,0.21222251464280587,False
29,1,Nev Schulman,20.0,0.06964573988586276,0.05688732571540574,0.0049554590723034225,0.21334448171131745,False
29,1,AJ McLean,18.0,0.07138543756472368,0.05247971697051506,0.007096098330857229,0.20111005467240253,False
29,1,Nelly,16.0,0.0754525880766007,0.05531710356355409,0.006018629804133299,0.2166244521071711,False
29,1,Kaitlyn Bristowe,20.0,0.06424521549139416,0.04806429203869174,0.0053323232236734165,0.1864079084024491,False
29,1,Carole Baskin,11.0,0.04547080752063078,0.040884098260004,0.0014853415974104953,0.1546674702372175,False
29,1,Monica Aldama,19.0,0.061601012542661614,0.048965289212940126,0.004117843206699787,0.18209440496734533,False
29,1,Jeannie Mai,18.0,0.06396979561936744,0.04982378042516104,0.004710852665296521,0.19745164823310943,False
29,2,Anne Heche,18.0,0.06764719634652658,0.05512530415685293,0.006168650900780171,0.21193047671758616,False
29,2,Jesse Metcalfe,20.0,0.07000072305434536,0.05156299763135711,0.006805967110332787,0.19881668305397704,False
29,2,Chrishell Stause,18.0,0.06416915090153193,0.04422111412191331,0.0065778557053476,0.16891674551160857,False
29,2,Skai Jackson,15.0,0.07970949108876564,0.05139858550573864,0.014533673908592582,0.21423118460426813,False
29,2,Justina Machado,21.0,0.07672165094773135,0.05403848788563811,0.006967609578377777,0.2024378250270221,False
29,2,Charles Oakley,15.0,0.01890984731987681,0.012897924254647255,0.0014098755563737282,0.0480363610272146,True
29,2,Veron Davis,18.0,0.07395242648271574,0.053003880727098183,0.005633712808224347,0.2077490644142256,False
29,2,Johnny Weir,18.0,0.06517201056599883,0.04701121437183475,0.004730552393914546,0.17904484972858054,False
29,2,Nev Schulman,21.0,0.06665327359009202,0.050268553447434805,0.005633038513820283,0.20200738107974486,False
29,2,AJ McLean,19.0,0.07418977490034187,0.0509862132338122,0.008300031268717412,0.19906328918945163,False
29,2,Nelly,18.0,0.07057704969370487,0.04719665989873463,0.005900823006231166,0.18607678857112764,False
29,2,Kaitlyn Bristowe,22.0,0.07064572438491733,0.05190578566673044,0.006235226407910668,0.19752175672476538,False
29,2,Carole Baskin,16.0,0.06610956378821463,0.04904077534259248,0.005087162255312242,0.1917627641207886,False
29,2,Monica Aldama,16.0,0.06875046508676778,0.051932065760419616,0.006881069279252753,0.19638788182841294,False
29,2,Jeannie Mai,18.0,0.06679165184847277,0.053576497038300995,0.004673231915864118,0.20632348880973597,False
29,3,Anne Heche,15.0,0.07901757531605558,0.05821195089408141,0.010447368465740386,0.21428181959565532,False
29,3,Jesse Metcalfe,20.0,0.07532859540849356,0.05366887293514391,0.006551135332137587,0.20573640925635006,False
29,3,Chrishell Stause,22.0,0.07606676677642442,0.0545824573931216,0.00628488093292749,0.21620111285196503,False
29,3,Skai Jackson,18.0,0.07760548854583164,0.05548106728033249,0.0066306092791424505,0.22115417167231038,False
29,3,Justina Machado,19.0,0.06954603367603636,0.053634419440414714,0.005361370713999292,0.2008013312402166,False
29,3,Veron Davis,22.0,0.08663974456865227,0.06274503726432318,0.007681130880495304,0.24058417714868374,False
29,3,Johnny Weir,24.0,0.07971260446503979,0.05607705439593579,0.008136063522452578,0.2188327049249262,False
29,3,Nev Schulman,24.0,0.06400139612957605,0.04865968063900957,0.00433936414642294,0.18779847065860597,False
29,3,AJ McLean,21.0,0.08317863392654788,0.05835730874877002,0.008753227508419928,0.22707768900338363,False
29,3,Nelly,18.0,0.08149692708405107,0.056295057987818725,0.008840451478818592,0.21913156017863378,False
29,3,Kaitlyn Bristowe,23.0,0.07490229876060361,0.05097152894272795,0.006843404234860355,0.19931189953971645,False
29,3,Carole Baskin,12.0,0.01826562233909135,0.01387096687470745,0.0007135397940204371,0.05072929068244983,True
29,3,Monica Aldama,21.0,0.06178145664124902,0.0502307406376463,0.004103995475362972,0.18769154655587747,False
29,3,Jeannie Mai,22.0,0.07245685636234951,0.05250983712788024,0.004736564708890213,0.20611091845073848,False
29,4,Anne Heche,21.0,0.02175577692670307,0.014908239757954342,0.0016485169332530805,0.05555791165395281,True
29,4,Jesse Metcalfe,21.0,0.09728360184141505,0.06594520835027833,0.01563110796339508,0.2613924316281687,False
29,4,Chrishell Stause,22.0,0.07750845332521582,0.05529368881834284,0.006874907443671726,0.21550310925174662,False
29,4,Skai Jackson,28.0,0.09538022835362625,0.06642189693581418,0.009401509335087682,0.2581146966350673,False
29,4,Justina Machado,24.0,0.0706147512023427,0.05427466654508581,0.005442915349285024,0.21926765093514017,False
29,4,Veron Davis,22.0,0.07244283665399513,0.056955164252672545,0.007384466098361814,0.2264082408694163,False
29,4,Johnny Weir,24.0,0.07922012625635534,0.06187404873028499,0.006405527339159387,0.2213955251109533,False
29,4,Nev Schulman,24.0,0.07771177644056289,0.059884895783664086,0.005378945867340037,0.22453686040212084,False
29,4,AJ McLean,24.0,0.07808407013528264,0.057866937002133086,0.006225726797366011,0.2203438332078959,False
29,4,Nelly,21.0,0.08937901104588968,0.05656832461289433,0.013934775436498808,0.22576198410282527,False
29,4,Kaitlyn Bristowe,25.0,0.07650707378600256,0.053785778432435864,0.0055856696572130805,0.20733532051187756,False
29,4,Monica Aldama,24.0,0.06940255472175018,0.05637146841680299,0.003749842213644381,0.21136972725587436,False
29,4,Jeannie Mai,21.0,0.09470973931086087,0.06518386435685296,0.01601084981408972,0.2566961757520061,False
29,5,Jesse Metcalfe,19.0,0.029608312057715,0.018684338853946464,0.002511379592334651,0.0721456689097375,True
29,5,Chrishell Stause,19.0,0.10682525282620142,0.06503611048519731,0.02222799899836427,0.26197164090045993,False
29,5,Skai Jackson,24.0,0.09083504909491112,0.06400675566863571,0.006674952792805639,0.24778794999834183,False
29,5,Justina Machado,24.0,0.07905303014539937,0.05946354021345228,0.006176361530657437,0.2316225495994515,False
29,5,Veron Davis,21.0,0.09935236581448331,0.06718898636555522,0.01529908896200046,0.26986893944156987,False
29,5,Johnny Weir,29.0,0.09249690898894511,0.06764332232078347,0.00872509966639006,0.2595321449950703,False
29,5,Nev Schulman,26.0,0.07433321652330173,0.06261959459308128,0.0031183287402446595,0.23074577454090772,False
29,5,AJ McLean,24.0,0.08908987302918858,0.06161931386055444,0.009381138869658317,0.24445593595595652,False
29,5,Nelly,24.0,0.0929546200756208,0.06567203079164571,0.007442459304563766,0.24953544580013562,False
29,5,Kaitlyn Bristowe,27.0,0.09016223725338535,0.06875714955073049,0.00622015475312345,0.2654381255220296,False
29,5,Monica Aldama,26.0,0.07255013671474274,0.05625225854024642,0.004286765484962316,0.21114304876201398,False
29,5,Jeannie Mai,24.0,0.08273899747610618,0.06263527445018577,0.00553650873982763,0.23656611249561288,False
29,6,Chrishell Stause,24.0,0.1063180096067046,0.0737617009064513,0.009398883845914694,0.28129043983366564,False
29,6,Skai Jackson,18.0,0.10647032272402976,0.06134647002987413,0.025856325887486344,0.2550636677603953,False
29,6,Justina Machado,27.0,0.09275284991507157,0.06961343816503217,0.007802793830588676,0.27221779683454655,False
29,6,Veron Davis,21.0,0.029873717019832383,0.01886336802136266,0.002832248344654508,0.07261432117049389,True
29,6,Johnny Weir,22.0,0.10758411585174485,0.0710399300796121,0.0150062630834945,0.290450330600008,False
29,6,Nev Schulman,26.0,0.09095071471543652,0.06976581106102366,0.006150539433338503,0.26650692550393357,False
29,6,AJ McLean,27.0,0.10690510443881965,0.07213360560963465,0.011407308445107936,0.2822596499554853,False
29,6,Nelly,24.0,0.10030212873272795,0.06868086040744399,0.010794681818309696,0.2568272950772526,False
29,6,Kaitlyn Bristowe,27.0,0.09190008298547901,0.06921629447858843,0.006574262210611094,0.26733598085440147,False
29,6,Monica Aldama,27.0,0.0800622733384249,0.06776553188814624,0.005984688051632247,0.2646630308829749,False
29,6,Jeannie Mai,25.0,0.08688068067172648,0.07121137818022931,0.005214982580403774,0.2757668676024549,False
29,7,Chrishell Stause,26.0,0.10866741475457305,0.07357034233963293,0.010349141382704131,0.28120847459136616,False
29,7,Skai Jackson,27.0,0.10258058941635165,0.07690436529935323,0.007664711182378161,0.28452582372662855,False
29,7,Justina Machado,26.0,0.10273901935181648,0.07116146230421234,0.008941592925006004,0.27133323837669554,False
29,7,Johnny Weir,27.0,0.10307437946352983,0.07491476331326419,0.007965472191256984,0.28785999499675985,False
29,7,Nev Schulman,30.0,0.0972726032500043,0.07217520616545123,0.007054539358032765,0.2799338677815169,False
29,7,AJ McLean,26.0,0.11978676389235272,0.08550020926506693,0.010390309432186648,0.33491216970269366,False
29,7,Nelly,27.0,0.11225182822973939,0.0766416718927733,0.008879110951291189,0.29158022278157364,False
29,7,Kaitlyn Bristowe,24.0,0.11567824800624278,0.07387729332087684,0.01372712284999847,0.2986456401863929,False
29,7,Monica Aldama,22.0,0.03462523302424366,0.024794168440682444,0.002258529095498093,0.09163439920302056,True
29,7,Jeannie Mai,25.0,0.1033239206111477,0.07465725109087108,0.008092612429289882,0.2813474569671911,False
29,8,Chrishell Stause,27.0,0.03552389875549726,0.023612446437103,0.00359075654972944,0.09034447998807399,True
29,8,Skai Jackson,26.9998,0.1642512724389299,0.08542477749505471,0.045866076849354294,0.3693539966975205,False
29,8,Justina Machado,28.9998,0.11041917855669749,0.08202478502236867,0.010146791164713747,0.3225936863922244,False
29,8,Johnny Weir,30.0,0.14158101787647187,0.10330692431484491,0.011274786663133831,0.3838911214858038,False
29,8,Nev Schulman,30.0,0.10461319192582202,0.07755881961019559,0.008048207177283453,0.2958580399035794,False
29,8,AJ McLean,27.0,0.13631262914585612,0.08695366951169357,0.025186306747958742,0.34962023357932187,False
29,8,Nelly,24.0,0.19274074427842605,0.08993066572797082,0.0658581491510503,0.4154925977383356,False
